player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Zach Cunningham,11812,LB,DEN,2,0,10,0,0,0,0,0,0,100,1,0,0,0,0,0,0,25,1,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Taki Taimani,82468,DI,MIN,7,0,18,0,0,0,0,0,0,61.1,22,0,0,0,0,0,0,100,42,42,0,0,0,0,0,0,38.9,14,0,0,0,0,0,0,0,0
Cameron Young,82499,DI,SEA,1,0,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,100,1,1,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0
Jonathan Ford,56705,DI,CHI,4,0,6,0,0,0,0,0,0,50,11,0,0,0,0,0,0,100,28,28,0,0,0,0,0,0,50,11,0,0,0,0,0,0,0,0
Starling Thomas V,83098,CB,ARZ,17,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.2,1,466,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0
Tyson Campbell,83217,CB,JAX,12,0,15,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.5,2,417,0,0,0,0,0,0,100,2,0,0,0,0,0,0,0,0
Reggie Gilliam,40951,FB,BUF,1,0,4,0,0,0,0,0,0,,0,0,,0,0,0,0,100,1,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0
Edefuan Ulofoshio,81459,LB,BUF,2,0,4,0,0,0,0,0,0,40,2,0,0,0,0,0,0,17.1,6,35,0,0,0,0,0,0,60,3,0,0,0,1,1,0,1,1
Camryn Bynum,38408,S,MIN,18,0,18,0,0,0,0,0,0,62.5,5,0,0,0,0,0,0,1.2,8,694,0,0,0,0,0,0,37.5,3,0,0,0,0,0,0,0,0
Sydney Brown,83241,S,PHI,7,0,24,0,0,0,0,0,0,,0,0,,0,0,0,0,2.1,1,48,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0
Ko Kieft,41372,TE,TB,1,0,30,0,0,0,0,0,0,,0,0,,0,0,0,0,100,1,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0
